name,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-nov2g_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.02-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.04-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.06-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.08-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.1-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.02_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.04_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.06_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.08_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.1_2050.nc,sens_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemItranIp0.1-wv2g_2050.nc
offwind-float,3.8769259633988087,5.195723960762932,3.3106075091836624,2.9557496882549827,2.955766924434952,2.95576188357805,2.9557618809233848,3.6412474664116696,3.445301941208719,3.344080249670922,3.3684508625776624,3.2065087691381855,2.955775427640798
oil,3.1699671411192583,3.902082432313839,3.1676954907341757,3.1703538451863253,3.173858463808238,3.195977326157697,3.153282782719328,3.413795048856202,3.5843864910855694,3.708849001972652,3.844019947891076,3.9489846160888455,3.1172130301294056
onwind,165.20625419681176,164.36265703253136,164.81569055497698,164.53400468952063,164.16825356827354,163.8600738279734,163.6016866275258,164.55003091786713,164.19897648947875,163.85745554733327,163.70923486485145,163.68328621163616,164.29575430367137
process emissions,2.3501294305508624e-12,9.38610619227196e-13,7.902459324115185e-15,8.345948837830959e-16,1.834412760292514e-14,-5.272077778960214e-15,-5.5975628325333264e-14,3.39255758105852e-12,1.762566665228646e-12,2.102146916977478e-12,3.430600122036746e-12,1.2443110292504043e-12,6.777245572899413e-14
process emissions CC,4.722432825879331,4.722378841821151,4.722393066234913,4.722629784176981,4.722393065688839,4.722424620204924,4.722398985384313,4.722490474349699,4.722426339451724,4.722490448121985,4.722593878035484,4.722593841565393,4.72262978418801
ror,14.259079506557246,14.259074787739577,14.259084847172423,14.259097655199616,14.2590817469249,14.259089970978993,14.25908993144621,14.259087277650917,14.25908935033919,14.259089063800698,14.259067682530416,14.259069413079903,14.259058169615319
rural air heat pump,7.779602342516225e-06,2.041601465103725e-06,3.288192140415356e-07,2.770857688288317e-07,3.0068031104805946e-07,3.1401567930523827e-07,6.22945941486512e-07,1.5755692943467818e-05,7.505067584534233e-06,8.723565107533111e-06,1.2822369810215269e-05,2.956523914058335e-06,3.429621169321316e-07
rural biomass boiler,7.4426131839372705e-06,1.8711455299694998e-06,4.0893075772745253e-07,3.4886948624032746e-07,3.721470505134206e-07,4.1397299474686527e-07,6.672478653320227e-07,1.5213084486905966e-05,7.060349561690191e-06,8.506569838676438e-06,1.2212984439468975e-05,2.8544902344155682e-06,3.8011736804377326e-07
rural gas boiler,2.840962417591227,2.784630307870053,2.8148668794995984,2.7959317843486424,2.80311153756439,2.799137144747047,2.7961299549984244,2.708711417493904,2.5752868980140224,2.4179064186044643,2.4914303621420197,2.422584520692148,2.8662208596126804
rural ground heat pump,42.1315303692598,42.25454329406506,42.10124079744246,42.0700750301287,42.03948130008168,42.032713691243615,42.02509005058807,41.73733550921064,41.63071946402081,41.64864353855185,41.70147015874832,41.7208825902079,42.078147082233876
rural resistive heater,0.9625629185783801,0.957610678547112,0.969160038179199,0.9767264699572746,0.9802168076487973,0.9816127105945947,0.9826829148344972,0.9674137574884947,0.9740200353377108,0.9808781442072666,0.9489109627950533,0.9369599383685789,0.9670462000533291
rural solar thermal,1.5846759025564184e-06,3.63303693167313e-07,7.825818468399033e-10,6.850254588082878e-09,4.7363305389366286e-09,2.4122748546482193e-09,4.502148565329174e-09,2.7127658289851787e-06,1.2659300216999715e-06,1.6203705584940929e-06,2.10322480641569e-06,5.413136468707223e-07,1.0557916004533086e-09
rural water tanks,1.04414314349582,1.1152685263906157,1.008047963227313,0.9709295093593074,0.941522834467316,0.9172048573796882,0.8967818187671289,0.8888305782791357,0.7350879897034194,0.6049481004731724,0.4588488450315615,0.3355960924612295,0.9373291001509346
rural water tanks charger,0.0015310275092752584,0.0016940785143090523,0.0014693618644787225,0.0014580191748469495,0.0013714582717715947,0.0013440772514412313,0.0012970261550964313,0.0012108403552523305,0.0009340265545140407,0.0007146500560993565,0.0005026356708585415,0.00034517810981993854,0.00139305109177101
rural water tanks discharger,0.001105575100445781,0.001231562078634944,0.0010765184820719156,0.0010338176075502265,0.001010134498924528,0.00096344149781681,0.0009456477873433045,0.0008981517948198942,0.0007007968663070963,0.0005414003420074787,0.0003844555851735421,0.00026218966928513135,0.0009922495707274876
shipping methanol,0.004920210958872619,0.00520772011711381,0.005066199374796809,0.004996087262739731,0.005066199374796809,0.005036943335698315,0.0048103507405377,0.0049099520145229215,0.005009945730493553,0.0049099520145229215,0.004877626617878519,0.004877626617878519,0.004996087262739731
solar,26.731472267948188,32.34895451191898,27.34505990330949,27.801579291491485,28.527402800212617,29.398370725727524,30.355692785180118,26.714712578461846,26.88501005289201,27.016528085390508,27.069472164381406,27.189389524424666,28.462611434884884
solar rooftop,29.934870696992107,27.32806773621138,30.92374477875804,31.57258004025075,32.22867813740801,33.016796878402594,33.59902361672549,30.668922925463182,31.028351506229313,31.197362649942413,31.30736709627992,31.388220421412857,32.003118334632724
solar-hsat,57.873624404310426,52.80600017005305,56.844233705732904,56.20101398598284,55.25898890253345,54.167502670856706,53.04696291465044,57.47744472752471,56.977443332762306,56.71017275135183,56.490258287414235,56.225958152193925,55.3442890807615
solid biomass,16.19557794647028,16.194486273209556,16.193533130201978,16.193544798961216,16.19522972439827,16.193533130201978,16.19548962777464,16.195489627769796,16.193533130199835,16.195489627772307,16.19557794646781,16.195577946471584,16.194666159395002
solid biomass for industry,1.8429705465071287e-11,4.319676691394353e-12,4.474564985143059e-13,4.0728694658808463e-13,4.237205391732203e-13,4.637830113542263e-13,7.695326072956059e-13,4.065963530906449e-11,1.7471300924444257e-11,2.009981844213366e-11,4.413824444603214e-11,7.85717060070598e-12,5.942216794811723e-13
solid biomass for industry CC,9.846729778103299,9.847394607571964,9.846825968794363,9.84740112804044,9.846825968647385,9.846571082510458,9.847254299668707,9.847369061431401,9.84730234222214,9.847369061926624,9.846510565733716,9.84651056497648,9.847401128081982
urban central air heat pump,20.004648060475052,20.38300276768735,20.100931469089304,20.154175486009194,20.201926294646004,20.255302365338334,20.28397059961595,19.927727878186527,19.856825219552114,19.831549206065272,19.758473523025284,19.697204902947185,20.407614675361575
urban central gas CHP,5.111886507112275,4.973781149127391,5.0730219654208435,5.011349410271919,4.92486017792169,4.817503988253651,4.714032647824398,5.240571967888633,5.311405241809669,5.252197815772379,5.2168198362119265,5.244223214281525,4.822217612655514
urban central gas CHP CC,3.5585647518196783e-06,9.896228350355345e-07,1.7074981720919656e-07,1.3864333742652321e-07,1.4223559223463978e-07,1.5579946770324024e-07,2.6580351747591235e-07,7.083529600719744e-06,3.4100588091066696e-06,3.998849804232449e-06,5.370834908079393e-06,1.3123978559258179e-06,1.483857369332091e-07
urban central gas boiler,0.6757563473605092,0.6019455336500317,0.6855426522714785,0.6928156172346077,0.7064522996324993,0.7165209657095305,0.7384545648601059,0.6382954829837789,0.6218810341341987,0.6214035598747485,0.6114852362452613,0.6029359041244581,0.7289887613930718
