,elec-Base,elec-p05,elec-p10,elec-p15,elec-p20,elec-p25,elec-p30,elec-p35,elec-p40,elec-p45,elec-p50,heat-Base,heat-p05,heat-p10,heat-p15,heat-p20,heat-p25,heat-p30,heat-p35,heat-p40,heat-p45,heat-p50,tran-Base,tran-p05,tran-p10,tran-p15,tran-p20,tran-p25,tran-p30,tran-p35,tran-p40,tran-p45,tran-p50
EE2 0,2164943.543773901,2164773.092764672,2163921.519758461,2160477.6138330116,2151068.117369675,2134274.380805915,2109505.5156476023,2078457.6831686078,2042821.5975888865,2001820.6797175866,1955156.8794805924,6551466.270741306,6550738.97303449,6547120.403363911,6538007.604557158,6520545.401170887,6487178.324566197,6432596.029658125,6349185.07956907,6228385.144719966,6061826.811554339,5844412.281943834,1176932.3074465015,1176799.8740400886,1176024.212200958,1173496.3232356603,1168145.785056471,1158939.5335129434,1142131.5029051618,1113164.2266445847,1069581.190828839,1016249.6939196928,960048.4391364778
ES0 0,69552011.25997749,69546809.37516046,69521135.29696256,69414127.91819489,69117816.00986159,68585841.8562836,67795543.90229791,66804836.12793991,65666623.5024373,64350427.07664178,62847047.41031166,82289628.26421411,82283741.947878,82253229.04441963,82161052.61833076,81985599.58068581,81641998.26745304,81059772.21476197,80149033.55171871,78782624.96034992,76853991.76416081,74258780.70082591,41676186.71859821,41671902.8055,41645496.952267736,41555468.409817904,41364949.861384615,41037148.46546632,40429125.814920396,39383060.52780842,37815151.26035495,35889727.80339563,33863832.63418094
ES3 0,2517828.86730671,2517637.144098767,2516696.1316536535,2512813.3115984118,2502116.540526191,2482988.982782892,2454619.344570487,2419038.504004235,2378114.452693794,2330754.6112663373,2276643.543205774,1184417.9800994694,1184273.406318089,1183651.9492641082,1181688.6317101002,1177917.3645699597,1170496.9511230253,1158193.798499512,1139422.9995225442,1112594.7149527273,1076497.6622753125,1030401.1781770317,581028.3111995773,580969.1233863224,580603.4699573806,579351.649408716,576695.6659118321,572119.6215383094,563651.785311893,549099.6383056792,527255.7008511121,500370.59892100387,472068.7994348367
FI1 0,14974223.029619189,14973161.795040967,14967923.240627855,14946697.40332666,14888640.441417852,14784169.332348313,14628073.871334331,14430948.873282898,14203012.330222622,13937241.92202454,13630928.180083698,40835019.572713576,40831123.054625794,40812426.28383088,40764908.15076945,40674463.12418856,40502209.94385516,40219040.602289304,39782130.50397601,39138196.35676716,38235598.61473137,37034448.956719995,6923434.078966855,6922653.205735368,6918051.894160524,6903093.3475127015,6871494.6937842285,6817229.456158671,6718279.74521851,6547724.994488228,6291181.160711183,5977462.628459538,5646973.723957319
FR0 0,122571433.43919173,122561979.54306307,122514947.24986976,122326802.35816276,121816164.4214851,120902438.4386454,119554938.85901468,117873525.29546088,115940949.4385711,113691211.57205607,111110228.32689916,327892576.9826378,327851551.8353792,327651583.7260728,327147485.6015743,326180761.74653286,324355421.2038265,321389389.53181326,316885549.14491963,310367055.35137755,301426578.65858877,289774730.71184546,75608789.16398725,75600503.0353683,75550698.90584531,75383624.34764887,75032845.35232753,74432762.85344604,73324038.43652156,71418505.23918304,68568198.11619735,65074422.119270705,61399819.64370108
GB4 0,88692222.93066877,88684236.07186498,88645317.49788731,88494982.83559385,88093221.18993461,87383140.11525567,86338676.63740517,85036256.41171995,83541029.116957,81816461.40035579,79853658.39154367,271366849.1785148,271345139.13179284,271229611.2896414,270926740.30952346,270332182.98752373,269179144.56009376,267275005.2003725,264334566.8157901,260031722.73833227,254081047.18446815,246251208.1866305,61047042.7298553,61040529.976120554,61000688.71578186,60867272.78783872,60590772.87802127,60121043.219229944,59241802.51203124,57734160.0385808,55479355.903335184,52698957.1672443,49782715.27360773
GB5 0,1385827.331669028,1385697.9870114687,1385081.7979907754,1382703.21883224,1376333.206651045,1365032.2446477064,1348388.1167918146,1327669.8585878958,1303946.9427520507,1276641.4855406657,1245607.692992247,7415209.5084431525,7414750.088356266,7412061.569536967,7404670.190533157,7390179.704990823,7361406.598685483,7313296.882727819,7238094.411283907,7126750.202033469,6971756.247257125,6766160.1644907035,1727851.8847960057,1727670.657249464,1726552.2021287181,1722795.852428534,1714995.068943855,1701725.5515253914,1676876.2772813928,1634256.0834645648,1570464.5064599104,1491746.3657853953,1409170.588502517
GR0 0,12222421.88266006,12221347.64014284,12216249.001185654,12197154.98274012,12146908.754952457,12058575.594983313,11927410.76752557,11761346.82366556,11568290.903669566,11343309.577912748,11084408.670713026,19337044.670573246,19335201.231506146,19326250.362568118,19303013.994237088,19258697.487792715,19173026.396899186,19029218.61339409,18800785.3510608,18455750.759072363,17960830.50995198,17298995.613938503,7470309.665181367,7469539.303786576,7464930.304296334,7449401.001974544,7416111.649829213,7358380.164370634,7252876.661031699,7070977.523361504,6795542.91645478,6456483.354790948,6098792.234519502
HR0 0,5090236.547757078,5089834.5336855855,5087863.571142182,5080009.100803338,5058577.113282725,5020122.219553806,4962927.458166869,4890825.124763101,4807482.575923545,4710682.251602588,4599638.888546962,14086745.265348084,14085002.315123567,14076389.041251421,14054214.680312146,14012088.752448115,13930601.021329977,13796507.923101794,13589536.298764495,13284663.608217001,12863578.375067528,12313078.975195851,3326905.420340388,3326538.3218497084,3324337.303112956,3316963.1463012295,3301469.2547559794,3274962.916496375,3226052.3748853263,3142134.087080034,3016615.499812796,2862696.522297569,2700804.9741152627
HU0 0,9434610.228839897,9433880.6893709,9430271.071692776,9415793.404752819,9376220.05641615,9305472.57055477,9200778.014366986,9069267.09647353,8917744.814771008,8742140.159374654,8541141.197474673,41160625.03133516,41155787.53329709,41131935.83567244,41069704.52647306,40952767.95814858,40727066.62257022,40354627.24773984,39776062.39662783,38917958.70280957,37720432.75397436,36142662.62888716,6966597.445287827,6965826.397025928,6961190.315053517,6945713.179158575,6913210.263175966,6857626.152588698,6755077.027988272,6579166.919242851,6316131.835998781,5993731.275899604,5654662.389184825
