,elec-Base,elec-p0.02,elec-p0.04,elec-p0.06,elec-p0.08,elec-p0.1,heat-Base,heat-p0.02,heat-p0.04,heat-p0.06,heat-p0.08,heat-p0.1,tran-Base,tran-p0.02,tran-p0.04,tran-p0.06,tran-p0.08,tran-p0.1
GR0 0,12222421.88266006,12222421.88266006,12222421.88266006,12222421.88266006,12222421.88266006,12222421.88266006,19337044.670573246,19337044.670573246,19337044.670573246,19337044.670573246,19337044.670573246,19337044.670573246,7470309.665181367,7470309.665181367,7470309.665181367,7470309.665181367,7470309.665181367,7470309.665181367
HR0 0,5090236.547757078,5090236.547757078,5090236.547757078,5090236.547757078,5090236.547757078,5090236.547757078,14086745.265348084,14086745.265348084,14086745.265348084,14086745.265348084,14086745.265348084,14086745.265348084,3326905.420340388,3326905.420340388,3326905.420340388,3326905.420340388,3326905.420340388,3326905.420340388
HU0 0,9434610.228839897,9434610.228839897,9434610.228839897,9434610.228839897,9434610.228839897,9434610.228839897,41160625.03133516,41160625.03133516,41160625.03133516,41160625.03133516,41160625.03133516,41160625.03133516,6966597.445287827,6966597.445287827,6966597.445287827,6966597.445287827,6966597.445287827,6966597.445287827
IE5 0,6408910.662664219,6408910.662664219,6408910.662664219,6408910.662664219,6408910.662664219,6408910.662664219,18554042.38521987,18554042.38521987,18554042.38521987,18554042.38521987,18554042.38521987,18554042.38521987,6080554.772285093,6080554.772285093,6080554.772285093,6080554.772285093,6080554.772285093,6080554.772285093
IT0 0,85195522.63525492,85195522.63525492,85195522.63525492,85195522.63525492,85195522.63525492,85195522.63525492,202818202.79516768,202818202.79516768,202818202.79516768,202818202.79516768,202818202.79516768,202818202.79516768,52702594.800219454,52702594.800219454,52702594.800219454,52702594.800219454,52702594.800219454,52702594.800219454
IT6 0,5245113.810706341,5245113.810706341,5245113.810706341,5245113.810706341,5245113.810706341,5245113.810706341,5316383.468099893,5316383.468099893,5316383.468099893,5316383.468099893,5316383.468099893,5316383.468099893,1447632.143339171,1447632.143339171,1447632.143339171,1447632.143339171,1447632.143339171,1447632.143339171
LT2 0,3105615.765896721,3105615.765896721,3105615.765896721,3105615.765896721,3105615.765896721,3105615.765896721,9330799.793344963,9330799.793344963,9330799.793344963,9330799.793344963,9330799.793344963,9330799.793344963,3461340.6786068017,3461340.6786068017,3461340.6786068017,3461340.6786068017,3461340.6786068017,3461340.6786068017
LU0 0,1219822.9591077256,1219822.9591077256,1219822.9591077256,1219822.9591077256,1219822.9591077256,1219822.9591077256,4514987.8523889985,4514987.8523889985,4514987.8523889985,4514987.8523889985,4514987.8523889985,4514987.8523889985,1513175.688365758,1513175.688365758,1513175.688365758,1513175.688365758,1513175.688365758,1513175.688365758
LV2 0,2243500.9838946173,2243500.9838946173,2243500.9838946173,2243500.9838946173,2243500.9838946173,2243500.9838946173,9022334.119886339,9022334.119886339,9022334.119886339,9022334.119886339,9022334.119886339,9022334.119886339,1558842.7113102127,1558842.7113102127,1558842.7113102127,1558842.7113102127,1558842.7113102127,1558842.7113102127
ME0 0,1105393.6778508432,1105393.6778508432,1105393.6778508432,1105393.6778508432,1105393.6778508432,1105393.6778508432,1012210.2214775998,1012210.2214775998,1012210.2214775998,1012210.2214775998,1012210.2214775998,1012210.2214775998,355548.57090100506,355548.57090100506,355548.57090100506,355548.57090100506,355548.57090100506,355548.57090100506
MK0 0,2336728.7142504193,2336728.7142504193,2336728.7142504193,2336728.7142504193,2336728.7142504193,2336728.7142504193,2849484.7647786248,2849484.7647786248,2849484.7647786248,2849484.7647786248,2849484.7647786248,2849484.7647786248,1014003.2005031299,1014003.2005031299,1014003.2005031299,1014003.2005031299,1014003.2005031299,1014003.2005031299
NL0 0,34393317.28292616,34393317.28292616,34393317.28292616,34393317.28292616,34393317.28292616,34393317.28292616,86569586.53150626,86569586.53150626,86569586.53150626,86569586.53150626,86569586.53150626,86569586.53150626,18321801.02335645,18321801.02335645,18321801.02335645,18321801.02335645,18321801.02335645,18321801.02335645
NO1 0,27857422.19344447,27857422.19344447,27857422.19344447,27857422.19344447,27857422.19344447,27857422.19344447,38807692.36794081,38807692.36794081,38807692.36794081,38807692.36794081,38807692.36794081,38807692.36794081,4761714.38584844,4761714.38584844,4761714.38584844,4761714.38584844,4761714.38584844,4761714.38584844
