,elec-Base,elec-p1000,elec-p950,elec-p850,elec-p800,elec-p700,elec-p600,elec-p500,elec-p400,elec-p350,elec-p300,elec-p250,elec-p200,heat-Base,heat-p1000,heat-p950,heat-p850,heat-p800,heat-p700,heat-p600,heat-p500,heat-p400,heat-p350,heat-p300,heat-p250,heat-p200
IT0 0,,0.007364014783604868,6.645077741121098e-09,2.2832568828857234e-10,0.007350698390225056,0.0034679152250402185,0.00020375436416167385,0.0038116952210884222,0.017585446962099124,7.158112919756157e-10,3131.79935970037,589470.1999089742,3606813.165586904,,0.1199793333383054,284.4074284758592,6029.444730091265,15724.996869987335,27059.80202134938,36684.1496474474,44674.48398217272,149714.02836160414,260045.43738691567,687598.9529268243,1986876.251100807,4781687.136045717
IT6 0,,6130.302956413255,6453.162281280537,8569.131547319157,9739.805473294047,12079.958595840088,20282.960614913907,28157.030752126808,40129.45930196577,48312.62441309346,66528.2453959258,288357.7427807891,818042.6899704731,,7985.37019950403,9662.973570114296,15509.034645161966,17275.76693732392,22137.668942631022,31620.877336078167,38050.51623516589,53627.46031271979,81334.64096908136,144934.66002766194,259353.77980010165,411136.00839061005
LT2 0,,9670.889107037861,9.886216103734239e-06,25544.96809941106,301.2419101753575,13.521840276741614,52318.59813461179,1826.0780854390105,112647.09344512559,63011.68157489297,323059.2583254187,35037.45296305184,880251.4998670105,,7253.486270101388,7508.356193279691,8575.936689723467,9135.146205300865,12332.908338855934,18661.31864340544,32090.961309322665,48108.02193352541,63911.208640778605,108253.38784848254,232962.64387054223,425156.4038487768
LU0 0,,0.008098626453989045,431.0411868569738,2.1661321078713732e-07,16.58137514781717,4.098230134087937,14387.221198895017,4.328887616146451,400.401864640501,2.3249077391756164e-06,451.0270541697275,95936.33681659566,2363.4655579634477,,145.85453533300935,202.44330498001835,2622.3318233307614,3391.629821214603,4607.276828311437,5680.0220316533705,6433.536604056152,8766.24517785358,12125.57070289932,20741.260156816505,62141.11686351746,144812.01881502272
LV2 0,,403.891799060927,11759.503528884665,6.59888366585538e-07,27381.75635720615,43109.27192091642,116.33963968726442,63944.86981467054,8796.041801722822,1085.1289117278109,4810.702641442208,503701.3262001484,73761.78200996833,,416.80108949799273,865.984590160471,3427.5135291391744,6864.427968270651,12972.39834070138,21779.853032763865,26627.958035744676,42176.64481020678,59499.15394443448,118755.37497611708,194430.27696423265,418282.0571130356
ME0 0,,0.007220839715298959,6.620913488528827e-09,2.1510834953813775e-10,0.0076400214345105815,0.003583411525721516,0.0002185140724037367,0.0042165492310724875,279.1252200929111,1979.5395082853338,4075.24185453655,14770.608793631845,44998.91123178369,,0.11773455724604798,0.0002193079617913952,0.0022809776610066713,0.08154219918476072,0.1405613367609807,279.375494540221,543.0625024239863,1258.9775990472438,2016.1412915264204,3797.825278083985,8842.646453043797,23485.727642930557
MK0 0,,0.0072394283265384135,6.242513580398247e-09,2.3753824508295663e-10,0.00890296218067201,819.9059965145651,1373.9610393477956,2320.1632587907034,5740.2671347994965,14037.200275426063,41828.62771660568,102831.57543698435,147787.6463346181,,387.7457538354709,482.2492329053755,700.8351898185142,842.1279029781147,1786.6463517720413,3805.8404095450182,6235.766839666076,8558.029912168484,12037.610965247775,19951.407809371747,46698.04605459955,98471.10863745122
NL0 0,,89592.82762450291,127201.52940963967,285223.18050338683,328392.85094795143,460066.36454415217,467010.38538227044,734789.995308802,874769.2330595658,1094000.186033328,1384947.95969252,2867662.671931315,4930356.984409215,,79714.93763745208,98404.32670068946,167990.98017667214,210905.93226617202,254448.52975694693,311616.32893746736,363595.6108697958,502363.7461221217,621523.8139494109,897342.1698941356,1824290.138396435,3219816.2673414163
NO1 0,,0.007373006720388065,6.868938609632451e-09,2.2760686212021433e-10,0.00786905815190918,0.0034148621592262575,0.00019832816709779995,0.00361920735989011,0.0158553909660665,5.920787351293233e-10,0.05551311654467356,0.18256840739524965,2024.495722203288,,1346.3762593247088,1289.3141659676432,1345.017332498606,1970.0428576221889,2962.0166918126306,4392.555661290352,5899.576485173461,8415.38527247345,10194.454766048964,11605.502323113134,16224.644854050668,30146.180016339636
PL0 0,,211206.71059408606,250628.97749417566,283720.03406247706,380856.524278188,546531.4123214625,591246.1428123759,667434.4703413132,1127523.0788799832,1305537.6207616257,3159755.8145666774,5742770.580296061,9000414.370666832,,196877.6217490416,205651.13990253658,220288.48552576645,224891.78733411198,246385.4535903065,313276.95190543786,449270.00820938626,578867.4169484915,753818.490024883,1226326.221505549,2763673.2956831004,6213115.40579124
